id,title,genres,release_date,budget,avg_rating,runtime,profit,production_countries,production_companies,cast,director
10096,13 Going on 30,Romance,2004-04-13,37000000,3.127130699979394,98.0,5.9455697E7,UnitedStatesofAmerica,ColumbiaPictures,others,others
10436,The Age of Innocence,Romance,1993-09-17,34000000,3.127130699979394,139.0,-1744560.0,UnitedStatesofAmerica,ColumbiaPictures,others,Scorsese
11078,National Security,Thriller,2003-01-17,2.1604277457480315E7,3.127130699979394,88.0,2.8493671542519685E7,UnitedStatesofAmerica,ColumbiaPictures,others,others
11888,Snow Dogs,Family,2002-01-18,33000000,3.127130699979394,99.0,3.54202807490212E7,Canada,WaltDisneyPictures,others,others
119675,Behind the Candelabra,Romance,2013-05-26,23000000,2.0,118.0,-7400000.0,UnitedStatesofAmerica,others,others,Steven Soderbergh
120478,The Haunting of Whaley House,Horror,2012-07-31,115000,3.9825174825174825,90.0,6.83052807490212E7,UnitedStatesofAmerica,others,others,others
129277,Two-Legged Horse,Drama,2008-01-01,2.1604277457480315E7,3.127130699979394,101.0,4.681600329154089E7,France,others,others,others
13282,Death Race 2000,Comedy,1975-04-27,300000,3.127130699979394,80.0,7700000.0,UnitedStatesofAmerica,others,others,others
13610,Christmas Cottage,Family,2008-01-01,2.1604277457480315E7,3.127130699979394,96.0,4.681600329154089E7,Canada,Lionsgate,others,others
14369,Out Cold,Comedy,2001-11-21,24000000,3.127130699979394,89.0,-9217324.0,UnitedStatesofAmerica,others,others,others
156277,Big Sur,Drama,2013-11-01,2.1604277457480315E7,3.127130699979394,100.0,-2.1570656457480315E7,UnitedStatesofAmerica,others,others,others
157380,May in the Summer,Comedy,2013-01-17,2.1604277457480315E7,3.127130699979394,100.0,4.681600329154089E7,others,others,others,others
159967,The Nun,Drama,2013-02-10,2.1604277457480315E7,3.127130699979394,100.0,4.681600329154089E7,Germany,others,Isabelle Huppert,others
16250,Love Comes Softly,Romance,2003-04-13,2.1604277457480315E7,3.127130699979394,88.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
16320,Serenity,Thriller,2005-08-25,39000000,3.127130699979394,119.0,-130536.0,UnitedStatesofAmerica,others,others,others
164558,One Direction: This Is Us,Music,2013-08-28,10000000,2.5,92.0,5.84202807490212E7,UnitedStatesofAmerica,ColumbiaPictures,others,others
16576,Cheeni Kum,Romance,2007-05-25,2.1604277457480315E7,3.127130699979394,136.0,4.681600329154089E7,India,others,others,others
168210,Bag of Bones,Horror,2011-12-10,15000000,3.1,157.0,5.34202807490212E7,UnitedStatesofAmerica,others,Pierce Brosnan,others
180891,Real,Drama,2013-06-01,2.1604277457480315E7,3.127130699979394,127.0,4.681600329154089E7,Japan,others,others,others
18947,The Boat That Rocked,Comedy,2009-04-01,50000000,3.127130699979394,116.0,-1.3651216E7,France,StudioCanal,others,others
191714,The Lunchbox,Romance,2013-09-19,1000000,3.127130699979394,104.0,3235151.0,Germany,others,others,others
19338,Out of the Ashes,Drama,2003-04-13,2.1604277457480315E7,3.127130699979394,113.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
201124,Vuonna 85,Comedy,2013-01-24,1600000,3.127130699979394,0.0,6.68202807490212E7,Finland,others,others,others
